campaign_id,campaign_name
1,year_modern_kitchen_launch_20250115
2,quarter_custom_kitchens_showcase_20240210
3,month_smart_kitchen_promotion_20240305
4,year_luxury_kitchens_exhibit_20240420
5,quarter_ecofriendly_kitchen_offer_20240512
6,month_openconcept_kitchens_event_20240618
7,year_traditional_kitchens_launch_20240707
8,quarter_spacesaving_kitchen_innovation_20240825
9,month_contemporary_kitchens_collection_20240914
10,year_kitchen_design_initiative_20241030
11,quarter_modern_kitchens_expo_20241122
12,month_custom_kitchens_show_20241205
13,year_smart_kitchens_event_20250102
14,quarter_luxury_kitchen_presentation_20240215
15,month_ecofriendly_kitchens_launch_20240325
16,year_openconcept_kitchens_demo_20240430
17,quarter_traditional_kitchens_fair_20240518
18,month_spacesaving_kitchens_exhibit_20240621
19,year_contemporary_kitchen_experience_20240710
20,quarter_modern_kitchens_innovation_20240812
21,month_custom_kitchens_experience_20240901
22,year_smart_kitchens_initiative_20241004
23,quarter_luxury_kitchens_innovation_20241116
24,month_ecofriendly_kitchens_experience_20241219
25,year_modern_kitchen_initiative_20250111
26,quarter_custom_kitchens_experience_20240222
27,month_smart_kitchens_launch_20240330
28,year_luxury_kitchens_show_20240411
29,quarter_ecofriendly_kitchens_demo_20240514
30,month_openconcept_kitchens_promotion_20240628
31,year_traditional_kitchens_experience_20240715
32,quarter_spacesaving_kitchens_showcase_20240809
33,month_contemporary_kitchens_event_20240920
34,year_modern_kitchens_fair_20241003
35,quarter_custom_kitchen_exhibit_20241125
36,month_smart_kitchen_innovation_20241202
37,year_luxury_kitchens_expo_20250113
38,quarter_ecofriendly_kitchens_show_20240217
39,month_openconcept_kitchens_initiative_20240328
40,year_traditional_kitchens_launch_20240405
41,quarter_spacesaving_kitchen_experience_20240521
42,month_contemporary_kitchens_show_20240612
43,year_modern_kitchen_experience_20240702
44,quarter_custom_kitchens_initiative_20240815
45,month_smart_kitchens_showcase_20240918
46,year_luxury_kitchens_initiative_20241029
47,quarter_ecofriendly_kitchen_experience_20241111
48,month_openconcept_kitchens_showcase_20241204
49,year_traditional_kitchens_exhibit_20240130
50,quarter_spacesaving_kitchens_innovation_20240212
51,month_contemporary_kitchen_launch_20240322
52,year_modern_kitchens_demo_20240419
53,quarter_custom_kitchen_showcase_20240503
54,month_smart_kitchens_exhibit_20240625
55,year_luxury_kitchens_fair_20240716
56,quarter_ecofriendly_kitchens_initiative_20240828
57,month_openconcept_kitchens_experience_20240910
58,year_traditional_kitchens_showcase_20241018
59,quarter_spacesaving_kitchen_exhibit_20241106
60,month_contemporary_kitchens_promotion_20241215
61,year_modern_kitchen_innovation_20250107
62,quarter_custom_kitchens_event_20240223
63,month_smart_kitchen_show_20240318
64,year_luxury_kitchens_innovation_20240409
65,quarter_ecofriendly_kitchen_show_20240530
66,month_openconcept_kitchens_launch_20240611
67,year_traditional_kitchens_demo_20240725
68,quarter_spacesaving_kitchens_experience_20240804
69,month_contemporary_kitchens_initiative_20240928
70,year_modern_kitchens_showcase_20241014
71,quarter_custom_kitchen_initiative_20241102
72,month_smart_kitchens_experience_20241221
73,year_luxury_kitchens_event_20250120
74,quarter_ecofriendly_kitchens_launch_20240205
75,month_openconcept_kitchen_exhibit_20240327
76,year_traditional_kitchens_fair_20240415
77,quarter_spacesaving_kitchens_demo_20240509
78,month_contemporary_kitchen_showcase_20240630
79,year_modern_kitchens_experience_20240712
80,quarter_custom_kitchens_innovation_20240817
81,month_smart_kitchens_launch_20240905
82,year_luxury_kitchens_show_20241001
83,quarter_ecofriendly_kitchen_experience_20241119
84,month_openconcept_kitchens_event_20241210
85,year_traditional_kitchens_initiative_20250105
86,quarter_spacesaving_kitchen_showcase_20240228
87,month_contemporary_kitchens_exhibit_20240319
88,year_modern_kitchen_initiative_20240408
89,quarter_custom_kitchens_experience_20240527
90,month_smart_kitchens_event_20240614
91,year_luxury_kitchens_demo_20240703
92,quarter_ecofriendly_kitchens_showcase_20240823
93,month_openconcept_kitchens_experience_20240930
94,year_traditional_kitchens_launch_20241012
95,quarter_spacesaving_kitchen_innovation_20241103
96,month_contemporary_kitchens_event_20241208
97,year_modern_kitchens_exhibit_20250117
98,quarter_custom_kitchen_show_20240213
99,month_smart_kitchen_initiative_20240311
100,year_luxury_kitchens_initiative_20240422
